epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2739.4,2.0225,2.36774,1.91737,0.19449,0.22532,0.16037,0.05044,2.48635,2.96449,2.43611,0.00040505,0.00040505,0.00040505
58,2787.85,2.00724,2.30426,1.91268,0.16196,0.24754,0.15396,0.0527,2.49784,2.95004,2.48703,0.000396051,0.000396051,0.000396051
59,2835.31,2.00663,2.28961,1.90241,0.21029,0.24683,0.16507,0.05715,2.45871,2.89231,2.42483,0.000387052,0.000387052,0.000387052
60,2882.76,1.98446,2.26627,1.89486,0.2069,0.23776,0.15029,0.04451,2.53807,2.96964,2.54975,0.000378053,0.000378053,0.000378053
61,2931.17,1.97156,2.25194,1.88692,0.20216,0.20108,0.16168,0.05753,2.49061,3.00111,2.50104,0.000369054,0.000369054,0.000369054
62,2978.82,1.96823,2.20084,1.87507,0.1843,0.21815,0.15864,0.04636,2.48537,3.03244,2.48867,0.000360055,0.000360055,0.000360055
63,3027.5,1.94404,2.20187,1.86087,0.27436,0.22059,0.19686,0.0616,2.44499,2.91498,2.43607,0.000351056,0.000351056,0.000351056
64,3074.94,1.93957,2.2052,1.86294,0.1988,0.22849,0.15021,0.045,2.47159,2.98026,2.46735,0.000342057,0.000342057,0.000342057
65,3123.48,1.94499,2.19178,1.87104,0.21594,0.22782,0.1661,0.05026,2.52357,2.98074,2.51825,0.000333058,0.000333058,0.000333058
66,3170.93,1.93957,2.12123,1.84988,0.23331,0.22645,0.17535,0.05287,2.49057,2.99304,2.49382,0.000324058,0.000324058,0.000324058
67,3219.36,1.91618,2.1257,1.83625,0.2165,0.2118,0.16998,0.05589,2.536,3.05318,2.52514,0.000315059,0.000315059,0.000315059
68,3266.61,1.90306,2.10748,1.82964,0.18144,0.23276,0.17268,0.05311,2.45978,3.11452,2.45058,0.00030606,0.00030606,0.00030606
69,3315.26,1.89445,2.06453,1.82109,0.20539,0.16925,0.1482,0.04757,2.50008,3.00949,2.48725,0.000297061,0.000297061,0.000297061
70,3362.65,1.85058,1.99889,1.80415,0.24049,0.2633,0.18019,0.05733,2.46919,3.05251,2.49689,0.000288062,0.000288062,0.000288062
71,3411.06,1.87224,2.02129,1.80734,0.26886,0.21232,0.17078,0.05535,2.54424,3.05705,2.53585,0.000279063,0.000279063,0.000279063
72,3458.33,1.84465,1.98259,1.79874,0.26369,0.2019,0.17501,0.05389,2.47758,2.97467,2.51094,0.000270064,0.000270064,0.000270064
73,3505.65,1.82028,1.96442,1.77364,0.19576,0.2404,0.17221,0.05527,2.48846,3.0213,2.52378,0.000261065,0.000261065,0.000261065
74,3554.05,1.83026,1.93106,1.76995,0.28867,0.18127,0.17891,0.05651,2.44739,3.0643,2.51176,0.000252066,0.000252066,0.000252066
75,3601.39,1.81268,1.94938,1.76909,0.24172,0.22271,0.1882,0.05961,2.50818,3.05689,2.52949,0.000243067,0.000243067,0.000243067
